FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
265_The_Life_and_Death_of_Cormac_t.txt  501                 276                 258                 225                 0.0124055s
266_Confessio_Amantis;_Or,_Tales_o.txt  403                 201                 208                 202                 0.1130119s
267_The_Touchstone.txt                  802                 508                 275                 294                 0.0329320s
268_The_Octopus_                        0                   0                   0                   0                   0.0000006s
269_Beasts_and_Super-Beasts.txt         1244                801                 297                 443                 0.0563086s
26_Paradise_Lost.txt                    1278                933                 316                 345                 0.0595277s
270_Dream_Days.txt                      1027                610                 322                 417                 0.0287575s
271_Black_Beauty.txt                    711                 479                 281                 232                 0.0380662s
272_An_Open_Letter_on_Translating.txt   365                 142                 233                 223                 0.0064928s
273_The_Smalcald_Articles.txt           439                 245                 256                 194                 0.0112162s
274_Disputation_of_Doctor_Martin_L.txt  271                 88                  183                 183                 0.0049581s
275_The_Augsburg_Confession             0                   0                   0                   0                   0.0000006s
276_Franz_Haydn's_104th_Symphony_[.txt  131                 28                  115                 103                 0.0020897s
277_Trinity_Site.txt                    289                 78                  178                 211                 0.0050247s
279_Photos_and_Maps_of_Trinity_(At.txt  130                 28                  113                 102                 0.0021961s
27_Far_from_the_Madding_Crowd.txt       1561                1135                348                 426                 0.0826263s
280_Records_of_a_Family_of_Enginee.txt  1075                577                 308                 498                 0.0391320s
281_Father_Damien                       0                   0                   0                   0                   0.0000005s
282_Eothen;_Or,_Traces_of_Travel_B.txt  1437                937                 321                 500                 0.0607042s
283_The_Reef.txt                        1299                955                 301                 344                 0.0649250s
284_The_House_of_Mirth.txt              1660                1245                301                 415                 0.0910577s
285_The_Lost_Continent.txt              1264                959                 315                 305                 0.0637418s
286_Laddie                              0                   0                   0                   0                   0.0000009s
287_Remember_the_Alamo.txt              1263                825                 306                 438                 0.0567110s
288_The_Certain_Hour_(Dizain_des_P.txt  1359                879                 327                 480                 0.0422316s
289_The_Wind_in_the_Willows.txt         1041                686                 307                 355                 0.0440868s
28_The_Fables_of_Aesop                  0                   0                   0                   0                   0.0000006s
290_The_Stark_Munro_Letters             0                   0                   0                   0                   0.0000003s
291_The_Golden_Age.txt                  977                 678                 315                 299                 0.0272086s
292_Beauty_and_the_Beast,_and_Tale.txt  1414                897                 347                 517                 0.0562671s
293_Paul_Prescott's_Charge.txt          1035                594                 305                 441                 0.0405366s
294_The_Captain_of_the_Polestar,_a.txt  1327                936                 322                 391                 0.0490145s
295_The_Early_Short_Fiction_of_Edi.txt  977                 648                 288                 329                 0.0293095s
296_The_Cash_Boy.txt                    661                 317                 273                 344                 0.0184621s
297_The_Flirt.txt                       1265                874                 317                 391                 0.0473147s
298_The_Market-Place.txt                1582                1032                332                 550                 0.0764232s
299_Tales_from_Two_Hemispheres.txt      1266                783                 320                 483                 0.0380805s
29_The_1990_United_States_Census.txt    136                 29                  114                 107                 0.0111128s
2_The_United_States_Bill_of_Righ.txt    158                 44                  133                 114                 0.0025339s
300_United_States_Declaration_of_I.txt  198                 61                  164                 137                 0.0030881s
301_The_Ballad_of_Reading_Gaol.txt      266                 181                 182                 85                  0.0072217s
302_The_Fibonacci_Number_Series.txt     132                 28                  115                 104                 0.0043793s
303_HomeBrew_HomePages_Put_YOU_on_.txt  132                 28                  114                 104                 0.0018144s
304_Rio_Grande's_Last_Race,_and_Ot.txt  693                 394                 267                 299                 0.0152661s
305_The_Count's_Millions.txt            1386                1050                319                 336                 0.0688287s
306_The_Early_Short_Fiction_of_Edi.txt  1062                684                 298                 378                 0.0294188s
307_Three_Elephant_Power,_and_Othe.txt  816                 497                 291                 319                 0.0216663s
308_Three_Men_in_a_Boat_(To_Say_No.txt  1029                688                 304                 341                 0.0380869s
309_Rhymes_of_a_Rolling_Stone.txt       718                 498                 254                 220                 0.0163705s
30_The_Bible,_King_James_Version,.txt   1178                870                 333                 308                 0.4311040s
310_Before_Adam.txt                     755                 548                 274                 207                 0.0259631s
311_Bunner_Sisters.txt                  783                 480                 279                 303                 0.0212358s
312_Young_Adventure                     0                   0                   0                   0                   0.0000009s
